Country;Region;SDGi;Life Expectancy;HDI;Per Capita GDP;Income Group;Population (millions);Cropland Footprint;Grazing Footprint;Forest Product Footprint;Carbon Footprint;Fish Footprint;Built up land;Total Ecological Footprint (Consumption);Cropland;Grazing land;Forest land;Fishing ground;Built up land;Total biocapacity ;Ecological (Deficit) or Reserve;Number of Earths required;Number of Countries required
French Guiana;South America;;;;;;0.3;;;;;;;1.5;;;;;;8.564.610.998;8.409.905.689;1.024.392.362;0.01806332
French Polynesia;Asia-Pacific;;79;;;HI;0.3;;;;;;;3.7;;;;;;1.127.148.909;-259.044.909;246.163.433;3.298.231.466
Gabon;Africa;62.8;66;0.71;"$15;287 ";UM;2.3;0.5;0.1;0.7;0.4;0.3;0;2.1;0.3;0.9;1.360.587.343;202.884.706;0.047333569;1.693.358.961;1.486.912.834;1.366.997.922;0.121915159
Gambia;Africa;60.2;62;0.5;"$2;266 ";LI;2.6;0.5;0;0.1;0.1;0.1;0;0.9;0.1;0;0.067683378;0.2140504;0.008195625;0.453522263;-0.400349892;0.565397606;1.882.756.866
Georgia;Middle East/Central Asia;73.4;72;0.8;"$15;926 ";LM;4;0.4;0.2;0.2;1.4;0.4;0.1;2.7;0.2;0.4;0.684855551;0.053067582;0.059808108;1.381.262.506;-1.274.215.722;1.758.344.063;1.922.500.767
Germany;EU-27;82.2;81;0.94;"$54;192 ";HI;83.9;0.9;0.2;0.5;2.7;0.1;0.2;4.5;0.6;0.1;0.69945463;0.074531266;0.178085032;1.614.535.735;-288.414.354;2.978.832.931;2.786.360.919
Ghana;Africa;63.4;64;0.63;"$5;785 ";LM;32.4;0.4;0.1;0.6;0.3;0.2;0.1;1.8;0.4;0.2;0.184274182;0.046136535;0.115712303;0.923303742;-0.831974234;1.162.269.972;1.901.084.005
Greece;EU-27;76.8;80;0.89;"$30;488 ";HI;10.3;1;0.4;0.3;1.9;0.1;0.1;3.8;1;0.1;0.232627086;0.193254918;0.070193199;1.604.464.539;-2.175.733.806;2.503.085.601;2.356.049.792
Grenada;Central America/Caribbean;;75;0.8;"$15;668 ";UM;0.1;;;;;;;1.8;;;;;;1.579.307.577;-0.197695336;1.176.655.297;1.125.178.489
Guadeloupe;Central America/Caribbean;;;;;;0.4;;;;;;;3.4;;;;;;0.550723844;-2.869.245.141;2.264.557.132;6.209.952.634
Guatemala;Central America/Caribbean;61;69;0.63;"$8;489 ";LM;18.6;0.4;0.2;0.6;0.5;0.1;0.2;1.9;0.3;0.1;0.273859873;0.039997543;0.223395459;0.963671112;-0.930130593;1.253.994.459;1.965.195.056
Guinea;Africa;51.3;59;0.47;"$2;595 ";LI;13.9;0.4;0.5;0.4;0.1;0.1;0.1;1.5;0.3;0.6;0.496427206;0.255151168;0.053672517;1.718.858.332;0.192929679;1.010.404.665;0.88775708
Guinea-Bissau;Africa;;60;0.48;"$2;384 ";LI;2.1;0.4;0.1;0.6;0.1;0.1;0;1.2;0.5;0.1;0.260773538;1.434.115.082;0.02710898;2.243.595.147;1.036.350.302;0.799385882;0.538084978
